Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,6.00,0.21,0.01,212,2917,7.27,0.5
1.8,6.10,0.25,0.02,211,1141,18.49,1.1
1.8,6.20,0.31,0.03,519,1527,33.99,1.2
1.8,6.30,0.42,0.04,648,1239,52.30,1.4
1.8,6.35,0.51,0.04,858,1397,61.42,1.3
1.8,6.40,0.58,0.05,1406,2085,67.43,1.0
1.8,6.45,0.67,0.06,1082,1471,73.56,1.1
1.8,6.50,0.83,0.05,1046,1402,74.61,1.2
1.8,6.55,0.98,0.08,1492,1921,77.67,1.0
1.8,6.60,1.15,0.1,825,1019,80.96,1.2
