Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.20,0.07,0.01,243,1365,17.80,1.0
1.8,5.00,0.06,0.01,102,1751,5.83,0.6
1.8,5.10,0.07,0.01,76,1072,7.09,0.8
1.8,5.30,0.08,0.01,428,1399,30.59,1.2
1.8,5.40,0.09,0.01,517,1203,42.98,1.4
1.8,5.50,0.11,0.01,670,1147,58.41,1.5
1.8,5.60,0.12,0.01,661,1001,66.03,1.5
1.8,5.70,0.15,0.01,692,994,69.62,1.5
1.8,5.80,0.17,0.01,768,1050,73.14,1.4
1.8,5.90,0.21,0.01,835,1070,78.04,1.3
1.8,6.00,0.26,0.01,812,1009,80.48,1.2
1.8,6.10,0.32,0.01,848,1001,84.72,1.1
1.8,6.20,0.41,0.02,868,1019,85.18,1.1
1.8,6.30,0.52,0.04,1066,1238,86.11,1.0
1.8,6.40,0.66,0.05,892,1020,87.45,1.0
1.8,6.50,0.85,0.05,875,1022,85.62,1.1
1.8,6.60,1.10,0.1,871,1000,87.10,1.1
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
