Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.80,0.20,0.01,428,3574,11.98,0.5
1.8,5.90,0.26,0.02,512,1880,27.23,1.0
1.8,6.00,0.34,0.02,1108,2329,47.57,1.0
1.8,6.05,0.41,0.03,765,1401,54.60,1.3
1.8,6.10,0.48,0.03,1213,2026,59.87,1.1
1.8,6.15,0.57,0.04,1007,1494,67.40,1.2
1.8,6.20,0.67,0.05,1141,1583,72.08,1.1
1.8,6.25,0.84,0.06,1042,1352,77.07,1.1
1.8,6.30,1.0,0.1,1004,1307,76.82,1.2
1.8,6.35,1.2,0.1,1074,1339,80.21,1.1
