Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%
1.8,6.20,0.23,0.01,75,1129,6.64
1.8,6.30,0.31,0.03,448,2700,16.59
1.8,6.40,0.37,0.03,546,1436,38.02
1.8,6.45,0.44,0.03,491,1006,48.81
1.8,6.50,0.53,0.03,681,1116,61.02
1.8,6.55,0.60,0.04,695,1074,64.71
1.8,6.60,0.73,0.02,978,1380,70.87
1.8,6.65,0.80,0.08,819,1094,74.86
1.8,6.70,1.00,0.1,829,1085,76.41
1.8,6.75,1.15,0.1,791,1009,78.39
