Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.20,0.09,0.01,108,2355,4.59,0.4
1.8,5.40,0.11,0.01,283,1433,19.75,1.1
1.8,5.60,0.12,0.01,534,1036,51.54,1.6
1.8,5.80,0.14,0.01,774,1127,68.68,1.4
1.8,6.00,0.17,0.01,1327,1733,76.57,1.0
1.8,6.20,0.22,0.01,938,1150,81.57,1.1
1.8,6.40,0.29,0.02,1086,1267,85.71,1.0
1.8,6.60,0.39,0.03,935,1065,87.79,1.0
1.8,6.80,0.56,0.03,1215,1372,88.56,0.9
1.8,7.00,0.79,0.04,1485,1704,87.15,0.8
1.8,7.20,1.12,0.1,910,999,91.09,0.9
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
