Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,4.81,0.06,0.01,21,1563,1.34,0.3
1.8,4.90,0.07,0.01,186,2561,7.26,0.5
1.8,5.00,0.08,0.01,200,2124,9.42,0.6
1.8,5.10,0.08,0.01,225,1121,20.07,1.2
1.8,5.20,0.09,0.01,509,1490,34.16,1.2
1.8,5.30,0.11,0.01,857,1858,46.12,1.2
1.8,5.40,0.14,0.01,571,1018,56.09,1.6
1.8,5.50,0.18,0.01,642,1011,63.50,1.5
1.8,5.60,0.26,0.02,725,1006,72.07,1.4
1.8,5.70,0.37,0.03,753,999,75.38,1.4
1.8,5.80,0.56,0.04,790,1000,79.00,1.3
1.8,5.85,0.67,0.06,818,1009,81.07,1.2
1.8,5.90,0.91,0.1,794,1001,79.32,1.3
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
