Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.00,0.10,0.01,378,2630,14.37,0.7
1.8,5.20,0.11,0.01,486,1749,27.79,1.1
1.8,5.40,0.16,0.01,942,1739,54.17,1.2
1.8,5.60,0.26,0.01,878,1275,68.86,1.3
1.8,5.80,0.45,0.04,797,1014,78.60,1.3
1.8,5.90,0.63,0.04,780,1003,77.77,1.3
1.8,6.00,0.89,0.06,1667,1967,84.75,0.8
1.8,6.10,1.25,0.1,851,1023,83.19,1.2
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
1.8,,,,,,#DIV/0!,#DIV/0!
