Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,5.20,0.09,0.01,103,2165,4.76,0.5
1.8,5.40,0.12,0.01,552,2315,23.84,0.9
1.8,5.60,0.13,0.01,808,1526,52.95,1.3
1.8,5.80,0.17,0.01,901,1272,70.83,1.3
1.8,6.00,0.22,0.01,800,1016,78.74,1.3
1.8,6.10,0.24,0.01,1212,1486,81.56,1.0
1.8,6.20,0.27,0.01,822,1009,81.47,1.2
1.8,6.25,0.29,0.01,832,1000,83.20,1.2
1.8,6.30,0.29,0.01,831,1001,83.02,1.2
1.8,6.35,0.33,0.01,1057,1269,83.29,1.0
1.8,6.40,0.34,0.01,1101,1306,84.30,1.0
1.8,6.45,0.38,0.01,862,1008,85.52,1.1
1.8,6.50,0.42,0.01,863,1006,85.79,1.1
1.8,6.55,0.44,0.02,1012,1190,85.04,1.0
1.8,6.60,0.47,0.03,894,1006,88.87,1.0
1.8,6.65,0.52,0.03,1289,1502,85.82,0.9
1.8,6.70,0.55,0.04,1134,1249,90.79,0.8
1.8,6.75,0.59,0.04,981,1104,88.86,0.9
1.8,6.80,0.62,0.04,1450,1628,89.07,0.8
1.8,6.85,0.71,0.04,895,1002,89.32,1.0
1.8,6.90,0.75,0.04,888,1010,87.92,1.0
1.8,6.95,0.81,0.05,894,1009,88.60,1.0
1.8,7.00,0.87,0.05,896,1000,89.60,1.0
1.8,7.05,0.96,0.07,1031,1150,89.65,0.9
1.8,7.10,1.02,0.1,903,1003,90.03,0.9
1.8,7.15,1.15,0.1,896,1004,89.24,1.0
1.8,7.20,1.25,0.1,895,1003,89.23,1.0
