Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.8,7.05,0.82,0.04,1002,1124,89.15,0.9
1.8,7.05,0.84,0.02,1766,1945,90.80,0.7
1.8,7.05,0.85,0.04,1498,1680,89.17,0.8
1.8,7.05,0.88,0.04,2806,3107,90.31,0.5
1.8,7.05,0.89,0.04,4894,5432,90.10,0.4
1.8,7.05,0.89,0.04,5081,5641,90.07,0.4
