Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%
1.7,6.70,1.0,0.1,789,1039,75.94
1.8,6.70,1.0,0.1,882,1187,74.30
1.9,6.70,1.0,0.1,972,1272,76.42
2.0,6.70,1.0,0.1,772,1013,76.21
2.1,6.70,1.0,0.1,739,1003,73.68
2.2,6.70,1.0,0.1,1066,1535,69.45
2.3,6.70,1.0,0.1,487,1004,48.51
