Vth/V,HV/kV,I/uA,Uncertainty/uA,Numerator,Denominator,Efficiency/%,Error in eff/%
1.6,6.25,0.82,0.06,803,1140,70.44,1.4
1.7,6.25,0.82,0.06,752,1027,73.22,1.4
1.8,6.25,0.82,0.06,1995,2669,74.75,0.8
1.9,6.25,0.82,0.06,984,1276,77.12,1.2
2.0,6.25,0.82,0.06,787,1047,75.17,1.3
2.1,6.25,0.82,0.06,855,1162,73.58,1.3
2.2,6.25,0.82,0.06,986,1470,67.07,1.2
2.3,6.25,0.82,0.06,1106,1857,59.56,1.1
2.4,6.25,0.82,0.06,27,1222,2.21,0.4
