Voltage/kV,Current/uA,Uncertainty/uA,,
0.006,0.01,0.02,,
0.102,0.02,,,
0.436,0.15,,,
0.499,0.19,,,
0.597,0.24,,,
0.718,0.3,,,
0.766,0.32,,,
0.843,0.37,,,
0.916,0.4,0.01,,
0.991,0.45,,,
1.035,0.48,,,
1.077,0.5,,,
1.110,0.53,,,
1.156,0.55,,,
1.215,0.59,0.01,,
