V/kV,I/uA,Uncertainty/uA,,"98% freon, 2% isobuane",,1.8lph freon
0.007,0,0.01,,,,
0.999,0.01,0.01,,,,
2.091,0.02,0.01,,,,
2.998,0.03,0.01,,,,
3.94,0.05,0.01,,,,
4.51,0.06,0.01,,,,
5.03,0.07,0.01,,,,
5.19,0.08,0.01,,,,
5.39,0.09,0.01,,,,
5.60,0.10,0.01,,,,
5.78,0.11,0.01,,,,
5.98,0.15,0.01,,,,
5.90,0.13,0.01,,,,
6.12,0.18,0.01,,,,
6.24,0.22,0.01,,,,
6.32,0.25,0.02,,,,
6.43,0.33,0.02,,,,
6.52,0.42,0.03,,,,
6.59,0.47,0.03,,,,
6.69,0.58,0.04,,,,
6.76,0.72,0.05,,,,
6.87,0.97,0.07,,,,
6.92,1.09,0.08,,,,
