V/kV,I/uA,Uncertainty/uA,,"90% isobutane, 10% CO2"
0.007,0,0.01,,
0.506,0,,,
1.005,0,0.01,,
1.459,0.01,,,
2.044,0.02,,,
2.529,0.03,0.01,,
2.984,0.03,0.01,,
3.51,0.04,,,
4.01,0.04,0.01,,
4.5,0.05,0.01,,
5.04,0.07,0.01,,
5.28,0.09,0.01,,
5.39,0.10,0.01,,
5.51,0.11,0.01,,
5.62,0.12,0.01,,
5.72,0.14,0.01,,
5.79,0.15,0.01,,
5.88,0.16,0.01,,
6.02,0.21,0.02,,
6.09,0.24,0.01,,
6.16,0.27,0.01,,
6.21,0.32,0.03,,
6.28,0.39,0.03,,
6.39,0.54,0.04,,
6.43,0.62,0.04,,
6.47,0.69,0.05,,
6.51,0.80,0.07,,
6.55,0.90,0.1,,
6.58,1.00,0.1,,
