V/kV,I/uA,Uncertainty/uA,,70% CERN 30% CO2,,CERN flow rate 1.90lph
0.007,0,0,,,,
0.474,0,0,,,,
1.243,0.01,0,,,,
1.614,0.01,0,,,,
2.132,0.02,0,,,,
2.615,0.02,0,,,,
3.105,0.03,0,,,,
3.67,0.04,0,,,,
4.01,0.04,0,,,,
4.5,0.05,0,,,,
5.05,0.07,0,,,,
5.50,0.13,0.01,,,,
5.84,0.25,0.01,,,,
5.99,0.39,0.02,,,,
5.90,0.31,0.02,,,,
5.76,0.21,0.02,,,,
5.85,0.25,0.02,,,,
5.95,0.35,0.05,,,,
6.09,0.54,0.04,,,,
6.11,0.63,0.05,,,,
6.20,0.88,0.06,,,,
6.30,1.16,0.06,,,,
