V/kV,I/uA,Uncertainty/uA,,70% CERN 30% CO2,,CERN flow rate 1.90lph
0.007,0,0,,,,
0.508,0,0,,,,
1.022,0.01,0.01,,,,
1.484,0.01,0.01,,,,
1.996,0.01,0.01,,,,
2.483,0.02,0.01,,,,
3.066,0.03,0.01,,,,
3.48,0.03,0.01,,,,
4.02,0.04,0.01,,,,
4.51,0.05,0.01,,,,
5.02,0.06,0.01,,,,
5.49,0.10,0.01,,,,
5.32,0.08,0.01,,,,
5.61,0.12,0.01,,,,
5.82,0.17,0.01,,,,
6.01,0.26,0.02,,,,
6.19,0.38,0.03,,,,
6.39,0.63,0.02,,,,
6.62,1.14,0.03,,,,
6.52,0.92,0.04,,,,
6.44,0.76,0.04,,,,
6.10,0.31,0.02,,,,
6.29,0.49,0.02,,,,
