V/kV,I/uA,Uncertainty/uA,,"95% freon, 5% isobutane"
0.007,0,,,
0.995,0.01,0.01,,
2.042,0.02,0.01,,
3.066,0.04,0.01,,
3.99,0.05,0.01,,
4.99,0.08,0.01,,
5.21,0.09,0.01,,
5.40,0.10,0.01,,
5.59,0.12,0.01,,
5.82,0.15,0.01,,
6.02,0.18,0.01,,
6.20,0.23,0.01,,
6.38,0.28,0.02,,
6.63,0.40,0.02,,
6.80,0.54,0.04,,
7.03,0.79,0.05,,
7.19,1.05,0.1,,
7.36,1.40,0.1,,
4.80,0.07,0.01,,
4.50,0.06,0.01,,
