V/kV,I/uA,Uncertainty/uA,,"70% (95% freon, 5% isobutane), 30% CO2"
0.007,0,,,
0.993,0.01,0.01,,
1.999,0.02,0.01,,
3.016,0.03,0.01,,
3.94,0.05,0.01,,
4.42,0.06,0.01,,
4.81,0.08,0.01,,
5.13,0.11,0.01,,
5.30,0.13,0.01,,
5.49,0.19,0.01,,
5.68,0.32,0.02,,
5.90,0.62,0.04,,
6.09,1.20,0.15,,
