V/kV,I/uA,Uncertainty/uA,,"99% freon, 1% isobuane",,1.8lph freon
0.007,0,0.01,,,,
1.069,0.01,0.01,,,,
1.999,0.02,0.01,,,,
2.999,0.04,0.01,,,,
3.55,0.04,0.01,,,,
4.02,0.05,0.01,,,,
4.51,0.06,0.01,,,,
5.02,0.07,0.01,,,,
5.21,0.08,0.01,,,,
5.42,0.09,0.01,,,,
5.58,0.10,0.01,,,,
5.80,0.11,0.01,,,,
6.04,0.16,0.01,,,,
5.92,0.13,0.01,,,,
6.11,0.22,0.01,,,,
6.17,0.36,0.06,,,,
6.14,0.27,0.04,,,,
6.20,0.45,0.05,,,,
6.25,0.75,0.1,,,,
6.31,1.1,0.1,,,,
