V/kV,I/uA,Uncertainty/uA,,"90% (95% freon, 5% isobutane), 10% CO2"
0.007,0,0.01,,
0.992,0.01,0.01,,
1.993,0.02,0.01,,
2.993,0.03,0.01,,
3.48,0.04,0.01,,
4.06,0.05,0.01,,
4.46,0.06,0.01,,
4.95,0.08,0.01,,
5.48,0.12,0.01,,
5.69,0.16,0.01,,
5.88,0.20,0.01,,
6.09,0.28,0.02,,
6.29,0.42,0.03,,
6.52,0.65,0.05,,
6.70,0.94,0.1,,
6.8,1.15,0.15,,
