Voltage/kV,Current/uA,Uncertainty/uA,,,,
0.108,0,0,,,,
0.657,0.01,0.01,,,,
1.072,0.01,0,,,,
0.816,0.01,0,,,,
1.049,0.01,0,,,,
1.1,0.02,0,,,,
1.163,0.01,0,,,,
1.187,0.01,0,,,,
1.198,0.02,0,,,,
1.223,0.02,0,,,,
1.237,0.05,0,,,,
1.245,0.08,0,,,,
1.253,0.12,0,,,,
1.281,0.45,0.03,,,,
1.262,0.18,0,,,,
1.265,0.2,0.04,,,,
1.267,0.23,0.03,,,,
1.269,0.24,0,,,,
1.271,0.3,0.02,,,,
1.28,0.4,0.02,,,,
1.289,0.53,0.03,,,,
1.294,0.63,0.05,,,,
1.299,0.75,0.05,,,,
1.306,0.9,0.05,,,,
1.312,1.03,0.05,,,,
