DD/MM/YYYY HH:MM:SS , time , count0 , count1 , count2 , count3 , count4 , count5 , adc0 , adc1 , adc2 , adc3
10/04/2024 10:13:03 , 697 ,37 , 865 , 36 , 20 , 19 , 912 , 
10/04/2024 10:13:08 , 5700 ,189 , 4034 , 179 , 110 , 103 , 4138 , 
10/04/2024 10:13:13 , 10702 ,338 , 7074 , 323 , 195 , 183 , 7464 , 
10/04/2024 10:13:18 , 15705 ,497 , 10228 , 473 , 271 , 253 , 10806 , 
10/04/2024 10:13:23 , 20708 ,639 , 13425 , 604 , 340 , 318 , 13962 , 
10/04/2024 10:13:28 , 25711 ,783 , 16588 , 740 , 418 , 391 , 17228 , 
10/04/2024 10:13:33 , 30714 ,925 , 19749 , 874 , 489 , 461 , 20458 , 
10/04/2024 10:13:38 , 35717 ,1059 , 22870 , 1004 , 563 , 531 , 23738 , 
10/04/2024 10:13:43 , 40720 ,1204 , 25999 , 1142 , 646 , 606 , 27010 , 
10/04/2024 10:13:48 , 45723 ,1368 , 29241 , 1299 , 731 , 686 , 30309 , 
10/04/2024 10:13:53 , 50726 ,1513 , 32364 , 1438 , 816 , 767 , 33494 , 
10/04/2024 10:13:58 , 55729 ,1674 , 35394 , 1593 , 906 , 854 , 36726 , 
10/04/2024 10:14:03 , 60732 ,1810 , 38428 , 1721 , 984 , 927 , 39990 , 
10/04/2024 10:14:08 , 65735 ,1936 , 41551 , 1839 , 1058 , 1000 , 43177 , 
