Voltage/kV,Current/uA,Uncertainty/uA
0.006,0,0.01
0.658,0,
1.104,0,
1.639,0.01,0.01
2.058,0.01,0.01
2.634,0.01,
3.029,0.01,0.01
3.62,0.02,
4.09,0.02,
4.63,0.02,0.01
5.02,0.03,0.01
5.33,0.04,0.01
5.7,0.06,0.01
6.01,0.09,0.01
6.09,0.12,0.02
6.13,0.12,0.01
6.18,0.13,0.02
6.22,0.15,0.01
6.29,0.18,0.02
6.35,0.25,0.03
6.38,0.33,0.03
6.45,0.45,0.04
6.51,0.66,0.06
6.55,0.78,0.05
