Voltage/kV,Current/uA,Uncertainty/uA
0.007,0,0.01
0.7,0,
1.075,0,
1.473,0,
2.052,0,0.01
2.474,0.01,0.01
3.005,0.01,0.01
3.56,0.01,0.01
4.07,0.01,0.01
4.71,0.02,
5.02,0.02,
5.37,0.03,0.01
5.64,0.07,0.01
5.85,0.17,0.05
5.87,0.22,0.05
5.92,0.32,0.05
5.96,0.44,0.1
5.99,0.52,0.1
6.08,0.75,0.2
