Voltage/kV,Current/uA,Uncertainty/uA
0.007,0,0
0.615,0,
1.1,0,
1.566,0.01,0.01
2.076,0.01,
2.727,0.01,
3.122,0.02,0.01
3.58,0.01,
4.02,0.02,
4.63,0.03,
5.03,0.03,
5.29,0.03,
5.61,0.04,
5.82,0.05,
6.03,0.07,
6.1,0.08,
6.31,0.17,
6.43,0.27,0.05
6.5,0.4,0.05
6.55,0.6,0.1
6.58,0.7,0.1
6.62,0.94,0.02
