Voltage/kV,Current/uA,Uncertainty/uA
0.007,0,0.01
0.802,0.01,0.01
1.243,0.02,0.01
1.754,0.04,0.01
2.328,0.06,0.01
2.654,0.08,0.01
3.125,0.11,0.01
3.68,0.15,0.01
4.19,0.2,0.01
4.31,0.22,0.01
4.64,0.26,0.01
5.15,0.34,0.01
5.62,0.48,0.01
5.69,0.5,
5.75,0.53,0.01
5.87,0.58,0.02
5.91,0.61,0.03
6.03,0.69,0.03
6.08,0.76,0.03
6.18,0.91,0.03
6.23,1.01,0.02
