Voltage/kV,Current/uA,Uncertainty/uA
0.006,0,0
0.65,0,0
1.069,0,
1.538,0,
2.093,0.01,0.01
2.627,0.01,
3,0.01,
3.42,0.01,0.01
4.03,0.02,0.01
4.58,0.02,
5.1,0.03,
5.33,0.04,0.01
5.58,0.06,0.01
5.82,0.08,0.01
6.06,0.14,0.02
6.22,0.19,0.02
6.38,0.36,0.03
6.5,0.73,0.05
6.55,1,0.1
