Voltage/kV,Current/uA,Uncertainty/uA
0.007,0,0
0.991,0.01,0
1.526,0.02,0
2.014,0.03,0
2.504,0.04,0
3.065,0.06,0
3.55,0.075,0
4.02,0.105,0
4.5,0.12,0
4.92,0.125,0
5.13,0.14,0
5.26,0.15,0
5.48,0.175,0
5.76,0.2,0
6.02,0.26,0
6.19,0.35,0
6.24,0.4,0
6.37,0.63,0
6.31,0.5,0
6.42,0.78,0
6.47,0.95,0
