Voltage/kV,Current/uA,Uncertainty/uA,,,,
0.027,0,0,,,,
1.224,0.02,0,,,,
1.806,0.03,0,,,,
2.48,0.04,0,,,,
3.156,0.09,0,,,,
3.64,0.2,0,,,,
3.87,0.29,0,,,,
4.04,0.45,0,,,,
4.15,0.55,0,,,,
4.34,0.84,0,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
