Voltage/kV,Current/uA,Uncertainty/uA
6.44,0.32,0.01
6.36,0.27,0.01
6.25,0.2,0.01
6.15,0.18,0.01
5.94,0.12,0.01
5.85,0.12,0.01
5.74,0.11,0.01
5.53,0.09,0.01
5.41,0.08,0.01
5.08,0.06,0.01
4.99,0.06,0.01
4.85,0.06,0.01
4.68,0.05,0.01
3.84,0.04,0.01
3.16,0.03,0.01
2.495,0.02,0.01
1.658,0,0.01
